,SELLER,REBOUND TYPE,COSTUMER ID,ORDER NUMBER,DATE ATTENDED,DATE DELIVERED,PRODUCT,UNIT AMOUNT,QUANTITY,Amount per Item/Total Amount,REASON,Charged (Fortnight/Month/Year Number),DAYS TO DELIVER
0,ABEL D,TOTAL,1796,30_1672675498060,2023-03-01,2023-06-01,Halconero Vinagre De Alcohol X 930 Cc,99,15,1485,WITHOUT MONEY,1Q/1/23,92.0
1,ABEL D,TOTAL,364,30_1672668194138,2023-04-01,2023-07-01,TOSTI TOSTADITAS FINITAS CLASICA DISPLAYX 140 G,215,10,2150,WITHOUT MONEY,1Q/1/23,91.0
2,ABEL D,TOTAL,364,30_1672668194138,2023-04-01,2023-07-01,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1120,1,1120,WITHOUT MONEY,1Q/1/23,91.0
3,ABEL D,TOTAL,364,30_1672668194138,2023-04-01,2023-07-01,Seven Up Packx6 Latax 354 Cc,720,4,2880,WITHOUT MONEY,1Q/1/23,91.0
4,ABEL D,TOTAL,364,30_1672668194138,2023-04-01,2023-07-01,Trym's Batatas Clasicas Sin Tacc X 65 G,165,5,825,WITHOUT MONEY,1Q/1/23,91.0
5,ABEL D,TOTAL,364,30_1672668194138,2023-04-01,2023-07-01,TOSTI TOSTADITAS FINITAS CLASICA DISPLAYX 140 G,215,10,2150,WITHOUT MONEY,1Q/1/23,91.0
6,ABEL D,TOTAL,1929,30_1673442419741,2023-12-01,,Trym's Papas Fritas Acanaladas Kettle Barbacoa Tex Sin Tacc X 60 G,165,12,1980,Repeated order shipment,1Q/1/23,
7,ABEL D,TOTAL,1929,30_1673442419741,2023-12-01,,Trym's Papas Fritas Clasicas Sin Tacc X 60 G,165,12,1980,Repeated order shipment,1Q/1/23,
8,ABEL D,TOTAL,1929,30_1673442419741,2023-12-01,,Valena Promo Trapo De Piso Gris X 20 U,1645,20,32900,Repeated order shipment,1Q/1/23,
9,ABEL D,TOTAL,1929,30_1673442419741,2023-12-01,,Vino Malbec Novecento Raices X 750ml,585,2,1170,Repeated order shipment,1Q/1/23,
10,ABEL D,TOTAL,1929,30_1673442419741,2023-12-01,,La Española Avena Arrollada X 400 G,160,20,3200,Repeated order shipment,1Q/1/23,
11,ABEL D,TOTAL,1632,30_1672409116585,,2023-02-01,Doña Pupa Pure De Tomate X 520 G,1000,3,3000,CLOSED,1Q/1/23,
12,ABEL D,TOTAL,1632,30_1672409116585,,2023-02-01,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1120,10,11200,CLOSED,1Q/1/23,
13,ABEL D,TOTAL,1632,30_1672409116585,,2023-02-01,Arbanit Cubanitos Dulce De Leche Displayx 12 Unidades,1120,10,11200,CLOSED,1Q/1/23,
14,ABEL D,TOTAL,1632,30_1672414758903,,2023-02-01,Arbanit Cubanitos Mani Displayx 12 Unidades,1120,10,11200,CLOSED,1Q/1/23,
15,ABEL D,TOTAL,1632,30_1672414758903,,2023-02-01,Suiza Cera Bril Incoloro X 900 Cc,470,15,7050,CLOSED,1Q/1/23,
16,ABEL D,TOTAL,1632,30_1672414758903,,2023-02-01,Suiza Limpiador Original X 900 Ml,"127,3",10,1273,CLOSED,1Q/1/23,
17,ABEL D,TOTAL,1632,30_1672414758903,,2023-02-01,Suiza Limpiador Pinos Patagonicos X 900 Ml,"127,3",12,"1527,6",CLOSED,1Q/1/23,
18,ABEL D,TOTAL,1074,30_1673025454885,2023-06-01,2023-08-01,La Española Polenta Instantanea X 500 G,65,20,1300,NO REQUEST,1Q/1/23,61.0
19,ABEL D,TOTAL,1074,30_1673025454885,2023-06-01,2023-08-01,La Española Arroz L F X 500 G,83,20,1660,NO REQUEST,1Q/1/23,61.0
20,ABEL D,TOTAL,1074,30_1673025454885,2023-06-01,2023-08-01,La Española Poroto Alubia X 500 G,182,10,1820,NO REQUEST,1Q/1/23,61.0
21,ABEL D,TOTAL,1074,30_1673025454885,2023-06-01,2023-08-01,Dec Mix Frutos Secos Salado X 250 G,250,8,2000,NO REQUEST,1Q/1/23,61.0
